town,county,acs_population,primary_action,secondary_signals,decision_note,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,climate_asset_sample_count,bridge_sample_count,culvert_sample_count,slr_site_sample_count,flood_site_sample_count
Milbridge,Washington,1222.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,42.95,61.41,51.98,39.46,47.81,21.14,45.83,18.43,8.21,30.2,19.47,22.5,27.28,12.4,2.1,0.0,0.0,0.0,0.0,0.0
North Haven,Knox,480.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,42.95,68.77,37.03,45.8,41.25,44.85,47.62,8.75,1.94,32.5,6.88,19.58,58.86,1.26,3.4,0.0,0.0,0.0,0.0,0.0
Washington,Knox,1624.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",42.95,54.44,43.13,38.14,40.59,27.01,55.26,15.31,3.95,21.31,18.54,14.16,9.52,18.02,1.32,0.0,0.0,0.0,0.0,0.0
Caswell,Aroostook,243.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,42.94,44.04,50.49,40.91,34.84,23.96,12.2,31.69,9.01,15.23,13.99,28.81,2.58,10.53,2.7,0.0,0.0,0.0,0.0,0.0
Windham,Cumberland,19188.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,42.94,41.11,23.93,55.24,27.32,30.77,32.65,3.44,3.47,15.9,9.7,19.21,9.0,12.19,0.23,0.0,0.0,0.0,0.0,0.0
Oxford,Oxford,4333.0,Infrastructure capacity build-out,infrastructure capacity gap; sample asset review,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",42.9,59.13,42.51,39.96,42.01,27.25,47.26,12.45,11.52,19.02,16.82,19.59,19.98,14.13,0.0,2.0,0.0,0.0,0.0,2.0
Pembroke,Washington,801.0,Resilience before or alongside growth,resilience before growth; high housing need; infrastructure capacity gap; hazard-overlay first; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,42.88,64.36,51.74,26.79,54.54,39.64,59.57,13.48,5.8,32.46,22.97,19.23,16.48,31.15,0.28,3.0,0.0,0.0,3.0,0.0
Meddybemps,Washington,139.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,42.64,70.76,49.85,34.22,51.58,51.79,100.0,7.19,0.0,39.57,27.34,5.04,44.08,13.51,1.43,0.0,0.0,0.0,0.0,0.0
Cape Elizabeth,Cumberland,9606.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,42.61,37.06,27.05,59.76,22.85,26.27,30.17,5.18,5.04,25.66,5.55,25.97,5.28,6.19,0.0,0.0,0.0,0.0,0.0,0.0
Trenton,Hancock,1599.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,42.56,69.39,42.46,36.51,48.53,31.94,50.33,18.24,5.13,25.45,7.63,20.08,29.92,15.97,0.0,0.0,0.0,0.0,0.0,0.0
Waldo,Waldo,926.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,42.47,48.57,28.92,48.53,25.57,29.86,74.07,10.37,1.06,12.2,10.04,20.19,4.15,2.54,3.46,0.0,0.0,0.0,0.0,0.0
Monson,Piscataquis,596.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,42.43,70.6,47.76,34.75,53.35,42.15,45.45,14.93,0.35,31.38,17.82,20.3,47.47,16.67,3.14,0.0,0.0,0.0,0.0,0.0
Northeast Piscataquis UT,Piscataquis,1002.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,42.43,63.31,63.21,33.39,55.92,15.85,100.0,21.96,2.91,54.09,26.95,1.4,52.43,17.82,0.55,0.0,0.0,0.0,0.0,0.0
North Berwick,York,5129.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",42.42,52.88,31.23,41.9,36.46,39.35,66.18,4.43,4.94,20.9,12.67,21.19,7.51,20.36,0.0,0.0,0.0,0.0,0.0,0.0
Clifton,Penobscot,1111.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",42.4,60.13,39.65,35.21,43.39,42.16,81.25,9.18,3.36,21.15,18.27,16.02,13.48,19.85,2.01,0.0,0.0,0.0,0.0,0.0
Milford,Penobscot,3095.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,42.38,42.81,36.38,49.48,26.74,18.74,55.56,5.33,12.45,17.22,21.58,17.12,4.67,5.55,0.0,0.0,0.0,0.0,0.0,0.0
Garland,Penobscot,823.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",42.33,59.12,48.37,33.62,46.42,27.54,46.67,19.27,2.22,23.21,21.63,17.98,16.81,20.59,0.0,0.0,0.0,0.0,0.0,0.0
Woolwich,Sagadahoc,3158.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",42.32,50.02,46.72,37.93,42.99,21.15,64.29,13.33,5.48,33.91,20.52,15.04,9.44,23.52,0.0,0.0,0.0,0.0,0.0,0.0
Sangerville,Piscataquis,1136.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",42.28,56.93,46.44,40.09,41.78,31.38,42.55,13.47,2.8,24.12,24.91,14.08,20.22,11.09,1.4,0.0,0.0,0.0,0.0,0.0
Newburgh,Penobscot,1475.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,42.25,49.45,36.5,40.99,33.24,33.87,42.86,11.7,2.25,21.42,13.27,18.85,3.6,14.64,0.48,0.0,0.0,0.0,0.0,0.0
Turner,Androscoggin,5891.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,42.21,44.69,32.84,46.62,29.99,38.71,41.94,3.03,0.0,27.24,18.62,16.13,4.08,13.12,0.0,0.0,0.0,0.0,0.0,0.0
Burnham,Waldo,953.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,42.2,63.09,44.14,41.06,44.17,30.46,60.87,13.64,2.43,22.25,22.56,16.79,28.57,9.14,1.7,0.0,0.0,0.0,0.0,0.0
Columbia Falls,Washington,475.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",42.19,51.81,44.37,35.1,42.15,32.26,58.82,12.42,0.0,30.11,19.37,16.84,5.52,19.63,6.1,0.0,0.0,0.0,0.0,0.0
Avon,Franklin,359.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,42.18,75.78,48.22,27.42,59.3,42.75,90.0,10.17,17.42,20.06,18.38,21.73,44.31,27.63,0.0,0.0,0.0,0.0,0.0,0.0
Frenchboro,Hancock,30.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,42.17,50.34,68.34,45.52,44.45,33.33,0.0,6.67,26.32,63.33,36.67,0.0,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rockport,Knox,3675.0,Seasonal market stabilization,seasonal/year-round housing pressure; sample asset review,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,42.1,59.63,30.88,49.33,34.24,36.58,53.45,5.34,3.87,24.22,10.13,20.87,25.77,2.8,0.47,2.0,0.0,0.0,2.0,0.0
Somerville,Lincoln,837.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",42.02,64.79,38.77,35.81,44.31,35.8,65.71,16.97,0.0,13.74,13.5,28.79,21.5,14.24,3.47,0.0,0.0,0.0,0.0,0.0
Minot,Androscoggin,2794.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,42.0,44.82,30.7,45.54,28.99,40.82,35.71,6.23,2.14,21.3,10.84,16.36,0.0,14.75,0.0,0.0,0.0,0.0,0.0,0.0
New Sharon,Franklin,1550.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",41.99,60.32,37.75,33.04,44.12,42.36,60.98,9.61,4.47,23.81,12.19,20.0,11.82,24.43,0.5,0.0,0.0,0.0,0.0,0.0
Stockton Springs,Waldo,1652.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,41.95,49.78,43.48,41.5,38.53,34.08,30.11,14.55,1.14,30.21,14.88,12.53,11.27,15.12,1.4,0.0,0.0,0.0,0.0,0.0
Jay,Franklin,4657.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,41.92,40.95,34.81,47.69,25.52,33.86,27.2,9.79,1.94,19.3,15.53,17.46,1.8,6.53,0.17,1.0,0.0,0.0,0.0,1.0
South Thomaston,Knox,1381.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,41.9,53.18,38.8,47.37,33.25,33.27,63.64,4.23,2.45,34.76,19.84,13.83,19.46,1.38,2.13,0.0,0.0,0.0,0.0,0.0
Harmony,Somerset,974.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",41.88,59.13,43.73,34.37,45.73,36.22,43.48,15.81,0.0,22.9,17.97,16.43,16.2,20.37,2.44,0.0,0.0,0.0,0.0,0.0
Bar Harbor,Hancock,5244.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,41.86,53.87,37.77,48.47,36.35,24.75,41.61,10.1,7.91,25.11,12.94,11.92,23.9,6.24,0.56,1.0,0.0,0.0,0.0,1.0
Island Falls,Aroostook,768.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,41.75,62.42,57.17,36.07,51.2,37.06,17.95,20.71,3.45,26.3,26.34,20.7,41.6,11.7,2.19,0.0,0.0,0.0,0.0,0.0
Millinocket,Penobscot,4115.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,41.75,40.23,60.41,37.26,42.37,17.58,20.48,17.13,9.59,36.16,31.01,16.11,8.11,16.92,3.14,0.0,0.0,0.0,0.0,0.0
Enfield,Penobscot,1462.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",41.73,63.1,42.92,36.07,45.49,42.05,58.33,6.84,3.51,27.98,23.96,18.47,24.19,16.16,0.0,0.0,0.0,0.0,0.0,0.0
Kingman UT,Penobscot,138.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,41.73,73.21,57.18,23.31,62.15,24.36,100.0,31.16,8.97,33.33,13.04,10.14,37.1,26.67,2.56,0.0,0.0,0.0,0.0,0.0
Medway,Penobscot,996.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,41.66,45.98,38.28,39.15,32.7,30.38,44.44,11.4,1.95,22.99,17.07,18.27,0.0,16.05,0.65,0.0,0.0,0.0,0.0,0.0
Stetson,Penobscot,1151.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",41.65,59.58,35.92,42.32,38.21,32.13,73.68,10.35,5.84,14.16,16.62,22.42,21.33,10.04,0.0,0.0,0.0,0.0,0.0,0.0
Verona Island,Hancock,481.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",41.65,58.05,32.74,43.59,36.64,33.65,100.0,11.43,1.7,24.53,5.82,20.58,17.79,10.98,0.85,0.0,0.0,0.0,0.0,0.0
Glenburn,Penobscot,4737.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",41.63,51.74,28.7,44.02,32.83,34.5,72.78,7.13,1.81,11.99,14.65,16.87,9.49,14.56,0.0,0.0,0.0,0.0,0.0,0.0
Thorndike,Waldo,1403.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,41.6,44.69,31.48,47.26,31.53,28.48,36.0,6.49,16.32,11.69,8.05,49.75,3.06,17.35,0.0,0.0,0.0,0.0,0.0,0.0
Sullivan,Hancock,1246.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",41.53,60.54,43.29,37.44,44.65,40.84,34.92,13.64,1.69,22.47,18.86,17.98,23.09,15.71,0.56,0.0,0.0,0.0,0.0,0.0
Lyman,York,4612.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",41.45,51.49,38.57,43.12,38.73,35.12,37.7,8.95,1.45,26.06,18.32,15.22,16.14,15.22,1.02,0.0,0.0,0.0,0.0,0.0
Corinna,Penobscot,2192.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,41.43,49.05,43.81,34.19,41.64,24.2,43.43,17.75,1.9,19.02,20.12,20.99,4.53,24.8,1.34,0.0,0.0,0.0,0.0,0.0
Levant,Penobscot,3069.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",41.43,50.66,30.57,41.76,32.68,36.8,45.74,9.0,0.0,18.12,11.44,19.81,6.36,15.15,0.32,0.0,0.0,0.0,0.0,0.0
Ludlow,Aroostook,444.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",41.41,54.31,36.92,42.38,34.96,26.99,45.45,15.32,2.02,12.39,16.22,22.75,15.2,8.44,1.01,0.0,0.0,0.0,0.0,0.0
Standish,Cumberland,10662.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,41.33,54.2,27.17,45.6,36.75,30.08,57.45,7.33,2.14,15.18,10.48,16.36,19.23,15.68,0.59,0.0,0.0,0.0,0.0,0.0
Arundel,York,4418.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,41.31,49.03,28.1,46.04,29.7,42.74,34.2,5.85,2.04,15.87,9.87,20.37,8.65,10.27,0.68,0.0,0.0,0.0,0.0,0.0
Pownal,Cumberland,1696.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,41.3,43.17,29.22,47.72,27.66,29.46,78.95,5.54,0.99,23.47,13.01,24.17,1.21,13.24,0.0,0.0,0.0,0.0,0.0,0.0
Easton,Aroostook,1433.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,41.27,47.56,44.08,40.4,35.32,17.6,41.27,15.07,9.58,25.75,14.45,21.21,10.0,9.56,2.58,0.0,0.0,0.0,0.0,0.0
Lincolnville,Waldo,2396.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,41.11,52.76,37.09,47.17,35.54,28.98,38.74,11.81,1.58,26.0,13.56,17.03,21.39,7.53,0.0,0.0,0.0,0.0,0.0,0.0
Machiasport,Washington,1016.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",41.08,56.97,44.83,39.43,41.81,30.89,36.67,15.89,1.32,29.82,16.4,12.8,23.23,11.03,0.66,0.0,0.0,0.0,0.0,0.0
Milo,Piscataquis,2165.0,Resilience before or alongside growth,resilience before growth; high housing need; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,41.04,60.01,48.84,25.47,53.43,30.05,48.76,16.35,5.91,18.24,25.82,16.81,15.28,53.09,0.47,0.0,0.0,0.0,0.0,0.0
Frankfort,Waldo,1098.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.99,38.45,46.19,41.57,33.34,40.31,0.0,16.37,1.65,21.4,19.93,15.76,0.96,15.36,0.82,0.0,0.0,0.0,0.0,0.0
Greenbush,Penobscot,1378.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",40.98,55.7,39.49,33.71,41.95,36.54,56.76,10.21,0.9,19.09,23.0,17.13,11.45,22.14,0.0,0.0,0.0,0.0,0.0,0.0
Bingham,Somerset,660.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,40.96,61.79,54.43,34.41,50.86,29.24,33.33,16.09,9.38,38.33,19.06,15.61,31.66,15.48,0.31,0.0,0.0,0.0,0.0,0.0
St. Francis,Aroostook,400.0,Resilience before or alongside growth,resilience before growth; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,40.94,52.26,55.44,24.33,51.77,22.73,44.9,18.75,6.14,38.75,20.5,12.5,7.05,33.08,2.19,0.0,0.0,0.0,0.0,0.0
Roque Bluffs,Washington,369.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,40.92,65.34,36.99,42.8,42.54,35.16,80.0,11.17,0.71,26.29,11.65,24.12,34.72,5.7,2.86,0.0,0.0,0.0,0.0,0.0
Winterport,Waldo,3850.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.9,42.94,32.78,41.89,31.71,45.09,26.77,5.65,0.94,19.01,15.78,18.03,0.0,18.09,1.59,0.0,0.0,0.0,0.0,0.0
Hollis,York,4872.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.88,45.91,25.69,45.39,29.18,32.59,48.85,5.69,0.5,16.79,10.77,16.4,3.81,15.45,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,Oxford,1054.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,40.83,67.99,46.37,32.8,53.26,41.87,90.62,8.92,1.63,31.78,25.14,15.56,47.83,20.31,1.02,0.0,0.0,0.0,0.0,0.0
New Limerick,Aroostook,372.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,40.67,60.12,58.13,34.66,51.58,26.97,33.33,15.59,7.78,37.1,26.34,15.32,35.56,9.63,6.11,0.0,0.0,0.0,0.0,0.0
Northport,Waldo,1621.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,40.67,59.21,41.52,40.22,43.41,35.12,56.76,5.93,2.85,39.17,17.93,13.88,26.98,12.2,1.42,0.0,0.0,0.0,0.0,0.0
Waldoboro,Lincoln,5253.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.66,36.37,40.78,46.52,28.15,23.67,20.04,9.63,10.57,22.62,17.8,15.55,4.09,7.89,1.16,0.0,0.0,0.0,0.0,0.0
Wiscasset,Lincoln,3874.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.66,36.04,39.67,46.61,29.19,33.05,23.58,5.75,2.59,27.98,23.89,13.78,1.92,12.17,0.76,0.0,0.0,0.0,0.0,0.0
Starks,Somerset,556.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",40.63,55.14,46.93,30.66,46.71,23.61,45.45,19.24,3.2,20.32,20.14,16.37,13.51,23.33,2.8,0.0,0.0,0.0,0.0,0.0
Eddington,Penobscot,2223.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.6,41.04,38.41,42.61,31.95,37.24,29.25,6.68,1.01,26.45,21.82,14.35,2.42,16.06,0.0,0.0,0.0,0.0,0.0,0.0
Deer Isle,Hancock,2470.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,40.54,56.72,51.8,41.07,47.45,21.86,25.44,19.15,7.32,24.78,22.0,14.74,37.16,10.26,2.57,0.0,0.0,0.0,0.0,0.0
Frenchville,Aroostook,971.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.54,39.57,45.07,43.39,30.28,21.19,22.45,18.62,0.95,28.42,15.45,16.17,5.62,5.14,3.33,0.0,0.0,0.0,0.0,0.0
Vinalhaven,Knox,1216.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,40.53,61.41,42.77,41.93,44.57,32.47,53.62,7.35,2.39,50.41,11.69,11.18,42.01,8.92,1.59,0.0,0.0,0.0,0.0,0.0
West Bath,Sagadahoc,1863.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.53,47.62,31.49,48.93,29.67,34.33,41.13,3.17,4.05,29.36,12.13,14.65,13.96,6.48,0.0,0.0,0.0,0.0,0.0,0.0
Etna,Penobscot,1252.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.52,48.88,36.79,40.65,34.1,18.71,66.67,15.5,2.03,18.45,14.92,20.05,9.68,13.34,0.0,0.0,0.0,0.0,0.0,0.0
Central Hancock UT,Hancock,153.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",40.44,59.6,49.59,31.56,48.59,20.0,100.0,17.65,7.35,29.41,19.61,27.45,23.4,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter Harbor,Hancock,493.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; sample asset review,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,40.43,61.33,44.37,41.1,43.74,36.59,66.67,3.87,3.11,47.26,20.69,5.68,39.23,7.79,0.0,2.0,0.0,0.0,1.0,1.0
Gouldsboro,Hancock,1615.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,40.4,67.36,45.55,32.22,53.92,43.19,80.77,7.18,1.46,38.82,21.61,12.94,35.54,22.14,1.22,0.0,0.0,0.0,0.0,0.0
Plymouth,Penobscot,1319.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",40.38,52.68,29.9,39.16,34.11,35.73,55.56,6.54,4.93,18.42,9.82,23.81,8.76,16.2,0.0,0.0,0.0,0.0,0.0,0.0
Kenduskeag,Penobscot,1333.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.25,39.42,36.91,44.03,28.92,21.37,27.16,15.9,5.65,15.6,11.85,20.03,1.47,12.61,0.0,0.0,0.0,0.0,0.0,0.0
New Sweden,Aroostook,494.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.23,36.69,48.8,40.85,32.05,25.89,15.79,15.99,2.45,30.77,21.86,23.08,2.3,10.12,2.45,0.0,0.0,0.0,0.0,0.0
Carrabassett Valley,Franklin,637.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,40.22,55.29,45.27,47.02,40.37,14.84,53.85,3.95,20.44,42.7,14.6,7.85,81.54,3.12,0.83,0.0,0.0,0.0,0.0,0.0
Smyrna,Aroostook,380.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.21,40.79,47.61,42.09,33.29,26.02,0.0,15.79,21.54,10.79,14.47,33.16,8.67,7.8,2.31,0.0,0.0,0.0,0.0,0.0
Mechanic Falls,Androscoggin,3134.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.2,45.1,33.64,36.68,34.73,33.25,42.86,9.16,1.12,16.4,17.66,24.09,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0
Monroe,Waldo,1001.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,40.19,48.92,38.2,35.68,39.36,25.87,50.94,11.29,3.79,22.58,16.08,23.68,6.17,22.0,2.61,0.0,0.0,0.0,0.0,0.0
